Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Agricultural machinery, tractors",2091000,,,,,,,,,,,,,,
Fertilizer consumption (% of fertilizer production),,,113.401275,119.9610551,121.4863244,132.8960089,152.5510538,172.230339,188.9650179,181.2310086,181.4846733,170.4998305,160.6461928,,
Fertilizer consumption (kilograms per hectare of arable land),,,100.3290553,105.1772039,115.2715101,127.614592,136.4039215,142.8352255,153.3493908,167.4572959,179.0986262,177.935847,163.6706402,,
Agricultural land (sq. km),1809750,1804870,1800370,1803090,1800830,1798580,1799730,1797090,1797080,1799630,1797590,1797990,1793000,,
Agricultural land (% of land area),60.86896566,60.70483218,60.5534796,60.64496383,60.56895119,60.4932749,60.53195389,60.44316038,60.44282404,60.5285905,60.45997733,60.47343089,60.30559769,,
Arable land (hectares),160930000,160325000,159934000,159865000,159450000,159213000,158720000,158104000,157920000,157823000,157510000,157350000,156200000,,
Arable land (hectares per person),0.154404591,0.151321251,0.148540123,0.146157373,0.143567668,0.141253526,0.138827498,0.13640294,0.134438634,0.132608984,0.130645969,0.128853282,0.126305228,,
Arable land (% of land area),54.12704873,53.92356358,53.792055,53.7688476,53.62926688,53.54955452,53.38373935,53.17655448,53.11466808,53.08204319,52.97676906,52.92295481,52.53616486,,
Land under cereal production (hectares),102402400,100271100,94470900,98603100,97805700,99519200,99236800,100833500,101155500,97171600,100075800,100585700,97100000,98820000,
Permanent cropland (% of land area),3.094319569,3.195221294,3.228855203,3.363390836,3.434022044,3.440748825,3.632462103,3.760270955,3.834265553,3.968801187,4.069702912,4.136970728,4.30514027,,
Land area where elevation is below 5 meters (% of total land area),1.353457,,,,,,,,,,,,,,
Forest area (sq. km),653900,658538,663176,667814,672452,677090,678540,679990,681440,682890,684340,685790,687240,,
Forest area (% of land area),21.99321268,22.14920674,22.30520081,22.46119488,22.61718895,22.77318301,22.82195218,22.87072135,22.91949051,22.96825968,23.01702885,23.06579801,23.11456718,,
Agricultural irrigated land (% of total agricultural land),,32.20730579,31.61683432,29.87704441,31.62930427,32.91819102,33.56670167,34.33717844,34.65955884,35.1161072,35.18933683,,,,
Average precipitation in depth (mm per year),,,1083,,,,,1083,,,,,1083,,1083
Land area (sq. km),2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190,2973190
"Agricultural machinery, tractors per 100 sq. km of arable land",128.5053191,,,,,,,,,,,,,,
Cereal production (metric tons),234931192,242963796,206636704,236592700,229845500,239997500,242785600,260485900,266835300,250783400,267838300,287860000,293290000,293940000,
Crop production index (2004-2006 = 100),92.28,95,84.73,97.13,94.05,99.89,106.06,116.42,117.5,112.94,125.15,134.36,131.18,,
Food production index (2004-2006 = 100),91.67,94.81,87.36,96.49,94.68,100.02,105.3,114.62,117.06,114.41,123.59,130.61,130,,
Livestock production index (2004-2006 = 100),84.53,87.78,89.47,91.56,95.79,99.81,104.39,111.06,114.26,118.8,124.37,126.33,127.91,,
Surface area (sq. km),3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260,3287260
Cereal yield (kg per hectare),2294.2,2423.1,2187.3,2399.4,2350,2411.6,2446.5,2583.3,2637.9,2580.8,2676.4,2861.8,3020.5,2974.5,
Trade in services (% of GDP),,,,,,11.90883776,13.4813773,12.65256213,15.83151018,12.68803622,13.56819313,14.01888092,14.80483008,14.64756022,
"Communications, computer, etc. (% of service imports, BoP)",,,,,,35.81809198,37.40792063,34.57482505,30.85066633,34.32977175,32.61837205,26.76758672,30.87486348,30.98666958,
"Primary income payments (BoP, current US$)",,,,,,12295901918,14444753970,19165591221,20957686735,21271739133,25563053870,26190542392,30741858254,33013233326,
"Imports of goods and services (BoP, current US$)",,,,,,1.82E+11,2.25E+11,2.79E+11,3.79E+11,3.28E+11,4.39E+11,5.53E+11,5.80E+11,5.60E+11,
"Insurance and financial services (% of service imports, BoP)",,,,,,6.782522727,7.8974445,9.156928689,8.978289683,9.68055216,10.27833469,11.58543826,9.068207696,9.368046357,
"Goods imports (BoP, current US$)",,,,,,1.35E+11,1.67E+11,2.09E+11,2.92E+11,2.48E+11,3.24E+11,4.28E+11,4.50E+11,4.34E+11,
"Service imports (BoP, current US$)",,,,,,47166360582,58514164307,70174852290,87739052164,80349462739,1.15E+11,1.25E+11,1.30E+11,1.26E+11,
"Charges for the use of intellectual property, payments (BoP, current US$)",,,,,,671829366.3,845949436,1159824391,1528826913,1860070100,2438302981,2819291079,3990055617,3903908830,
"Imports of goods, services and primary income (BoP, current US$)",,,,,,1.94E+11,2.40E+11,2.98E+11,4.00E+11,3.50E+11,4.65E+11,5.79E+11,6.11E+11,5.93E+11,
"Transport services (% of service imports, BoP)",,,,,,44.28276442,42.99667644,44.55616224,49.22267186,44.40335183,40.55691672,46.32917794,46.63872364,45.26066938,
"Travel services (% of service imports, BoP)",,,,,,13.11662087,11.69795843,11.71208402,10.94837213,11.58632425,9.142164065,10.95578431,9.518537583,9.164302833,
"Foreign direct investment, net outflows (% of GDP)",,,,,,0.316555674,1.478936394,1.374514349,1.573120933,1.178842003,0.934649321,0.67060229,0.460162038,0.094040464,
"Secondary income, other sectors, payments (BoP, current US$)",,,,,,475507398,857016412.5,1233747716,2894628689,1652988824,2270102083,2522897385,3135735444,4156511171,
"Personal remittances, paid (current US$)",486141906.7,751084716.8,1186800171,1265419800,1652783203,1348282858,1561865362,2059330846,3812363581,2889988305,3828678498,4077745356,4963082154,6412841564,
"Current account balance (BoP, current US$)",,,,,,-10283543308,-9299060317,-8075694484,-30971987181,-26186435957,-54515877624,-62517637222,-91471245846,-49225968929,
Current account balance (% of GDP),,,,,,-1.232720958,-0.979759353,-0.651949076,-2.530190453,-1.917896928,-3.190938826,-3.325229112,-4.921130052,-2.622870971,
"Net financial account (BoP, current US$)",,,,,,-10824559421,-8399404999,-6737296326,-29826228672,-26172856384,-56436079497,-64390527321,-90237732678,-48095285548,
"Net primary income (BoP, current US$)",,,,,,-6649958332,-6245325788,-6515811031,-5364336274,-7538933229,-15601985068,-16043262742,-20842871438,-21783481693,
"Net trade in goods and services (BoP, current US$)",,,,,,-27276336271,-31769964257,-38703712439,-74360043516,-67410018791,-91023662479,-1.07E+11,-1.36E+11,-92257279931,
"Net trade in goods (BoP, current US$)",,,,,,-32288927608,-42695648388,-55081319693,-92675230456,-79950042234,-93353427193,-1.20E+11,-1.52E+11,-1.15E+11,
"Net errors and omissions (BoP, current US$)",,,,,,-541016113.4,899655318.5,1338398158,1145758509,-279420427.5,-1969864183,-1940805909,1830745984,168853716.8,
"Foreign direct investment, net (BoP, current US$)",,,,,,-4628652265,-5992285935,-8201628958,-24149749830,-19485789183,-11428785746,-23890659988,-15442447343,-26388082470,
"Portfolio Investment, net (BoP, current US$)",,,,,,-12144114068,-9545718947,-33016300605,15074790314,-17756860244,-36875471079,-2664809742,-29285240146,-6857994918,
"Reserves and related items (BoP, current US$)",,,,,,14554075998,29169924815,87488219956,25372728203,17035954559,14126806367,-4138567645,-4022754897,10928508988,
"Net secondary income (BoP, current US$)",13434458436,14732958218,16090810168,21831498410,19792616190,23642751295,28716229728,37143828986,48752392609,48762516063,52109769922,60212408129,65435024619,64814792695,
"Net capital account (BoP, current US$)",,,,,,,,,,293000000,49662310.11,67915809.28,-597232816.4,961829664.6,
"Grants, excluding technical cooperation (BoP, current US$)",460590000,557160000,697950000,620830000,893420000,1091860000,892500000,1144310000,1173000000,1225900000,1000650000,1027040000,812580000,,
"Technical cooperation grants (BoP, current US$)",286860000,313940000,327970000,418440000,387080000,352370000,358350000,276030000,276290000,266040000,282300000,325750000,354720000,,
"ICT service exports (BoP, current US$)",,,,,,35073974538,47423914835,58985122161,73484592821,61624368553,75037123007,85662135486,95891807671,99193923195,
"ICT service exports (% of service exports, BoP)",,,,,,67.21862599,68.29495729,68.14956209,69.289789,66.34159697,64.09704019,61.83741589,65.89370051,66.7302997,
"Communications, computer, etc. (% of service exports, BoP)",,,,,,69.11783817,70.1099552,70.1629611,71.25240126,70.39496354,65.90259538,63.33759977,67.70722234,69.16075218,
"Primary income receipts (BoP, current US$)",,,,,,5645943586,8199428181,12649780190,15593350461,13732805904,9961068802,10147279650,9898986816,11229751633,
"Exports of goods and services (BoP, current US$)",,,,,,1.55E+11,1.93E+11,2.40E+11,3.05E+11,2.61E+11,3.48E+11,4.46E+11,4.44E+11,4.68E+11,
"Insurance and financial services (% of service exports, BoP)",,,,,,3.994125632,4.997356311,5.643358199,5.517803887,5.524417524,6.50443995,6.376214052,5.228895452,5.731572903,
"Goods exports (BoP, current US$)",,,,,,1.02E+11,1.24E+11,1.54E+11,1.99E+11,1.68E+11,2.31E+11,3.08E+11,2.98E+11,3.19E+11,
"Service exports (BoP, current US$)",,,,,,52178951919,69439848438,86552459544,1.06E+11,92889486182,1.17E+11,1.39E+11,1.46E+11,1.49E+11,
"Charges for the use of intellectual property, receipts (BoP, current US$)",,,,,,205974583.7,60913260.31,163126496.6,147815443.4,191939516.6,127378163.3,302615975.5,321445174,445568319.5,
"Exports of goods, services and primary income (BoP, current US$)",,,,,,1.60E+11,2.02E+11,2.53E+11,3.21E+11,2.75E+11,3.58E+11,4.57E+11,4.54E+11,4.79E+11,
"Transport services (% of service exports, BoP)",,,,,,12.52811834,12.4590655,11.79719297,12.0733641,12.09230363,11.33966982,12.77826613,12.03004474,11.37965412,
"Travel services (% of service exports, BoP)",,,,,,14.35991785,12.43362299,12.39648773,11.15665622,11.98831531,12.37716152,12.78262381,12.34942584,12.37617321,
"Foreign direct investment, net inflows (BoP, current US$)",3584217307,5471947158,5626039508,4322747673,5771297153,7269407226,20029119267,25227740887,43406277076,35581372930,27396885034,36498654598,23995685014,28153031270,
"Foreign direct investment, net inflows (% of GDP)",0.752024446,1.107784016,1.073736082,0.699070504,0.799807686,0.871406904,2.110290315,2.036630088,3.545983252,2.605982958,1.603602253,1.941314391,1.290961827,1.500057187,
"Primary income on FDI, payments (current US$)",0,2143240331,2323415258,2413012643,3479235563,5244341660,7737524083,10909992105,11988871923,12278774182,21763448889,23759933902,16389049089,12554794807,
"Portfolio equity, net inflows (BoP, current US$)",2481311864,2949583339,1063391576,8216187274,9053979533,12151206548,9509114658,32862817217,-15030005085,24688929528,30442226311,-4048294106,22809104593,19891607287,
"Secondary income receipts (BoP, current US$)",,,,,,24512007176,30015197182,38885426199,52065208183,50526404973,54379872006,62735305514,68611473093,69441152030,
"Personal transfers, receipts (BoP, current US$)",,,,,,21859147408,28024797011,36769757385,49179627878,48331658602,52489564633,60259412355,65961872968,66799009274,
"Personal remittances, received (current US$)",12883465820,14273018550,15735736330,20999150390,18750376950,22125089480,28333642280,37216755275,49977276916,49203912009,53479960083,62499075445,68820517838,69970360847,
"Personal remittances, received (% of GDP)",2.703151182,2.889542123,3.003183297,3.395961957,2.598496525,2.652204662,2.985264109,3.004500638,4.082787073,3.603698947,3.130304206,3.324241836,3.702526574,3.728179096,
S&P Global Equity Indices (annual % change),-31.08166313,-19.91509628,6.829999924,76.51999664,20.09000015,33.56282272,46.70103093,78.58046381,-64.13702188,94.13996825,18.72242586,-38.04853051,23.33122262,-6.335899385,
Market capitalization of listed companies (current US$),1.48E+11,1.10E+11,1.31E+11,2.79E+11,3.88E+11,5.53E+11,8.19E+11,1.82E+12,6.45E+11,1.18E+12,1.62E+12,1.02E+12,1.26E+12,,
Market capitalization of listed companies (% of GDP),31.06609065,22.34937167,25.00358409,45.13461809,53.74984695,66.29873555,86.27796876,146.8555996,52.7309352,86.36728359,94.57997625,54.00616583,67.96713245,,
"Listed domestic companies, total",5937,5795,5650,5644,4730,4763,4796,4887,4921,4955,4987,5112,5191,,
