country,electricity_access,co2_emissions,mortality_rateper1000,export_percent_to_gdp,alternative_and_nuclear energy_percent_total,forest_area_percent,net_migration,male_unemployment,air_transport,brth_rate_per1000,population_in1000s,sanitation_access,trade_in_services_percent_gdp,expense_percent_gdp,gdp_in_millions,life_expectancy_morethan_70
Aruba,91,2439,,,,2,1253,,,10,103,98,,,,1
Andorra,100,491,3,,,34,,,,,80,100,,,,
Afghanistan,43,12251,97,6,,2,-399999,7,25389,34,31281,29,25,41,20842,0
Angola,37,29710,167,59,2,47,65543,7,13818,44,22137,60,19,26,131401,0
Albania,100,4668,15,36,20,28,-50002,18,1995,13,2894,91,36,,13370,1
Arab World,86,1704418,40,50,0,2,354001,9,1292823,26,377044,82,15,,2855841,0
United Arab Emirates,98,178484,8,99,0,4,514042,3,356793,14,9446,98,,4,401647,1
Argentina,100,190035,13,15,5,11,-99998,7,95212,17,41803,97,5,,540197,1
Armenia,100,4961,16,31,27,9,-50001,15,0,14,2984,91,22,23,10882,1
American Samoa,59,,,,,88,,,9138,,55,63,,,,
Antigua and Barbuda,91,513,9,44,,22,-56,,46408,16,91,,57,21,1269,1
Australia,100,369040,4,21,2,19,749997,6,644940,13,23491,100,8,26,1453770,1
Austria,100,65203,4,54,13,47,150001,5,162567,9,8534,100,27,38,436344,1
Azerbaijan,100,33458,34,43,1,11,0,4,18356,18,9538,82,17,22,75198,1
Burundi,7,209,83,8,,7,-20001,6,,45,10483,48,13,,3094,0
Belgium,100,97766,4,84,20,22,150007,9,134568,11,11225,100,42,45,533383,1
Benin,38,4987,85,19,0,40,-10000,1,646,36,10600,14,,14,8747,0
Burkina Faso,13,1933,98,28,,20,-125000,4,3670,41,17420,19,,15,12543,0
Bangladesh,60,57070,41,20,0,11,-2040559,4,58590,20,158513,57,6,,173819,1
Bulgaria,100,49339,12,68,25,37,-50000,14,12174,9,7226,100,23,31,55735,1
Bahrain,98,23439,6,,0,1,22081,5,55346,15,1344,99,15,,33869,1
"Bahamas, The",100,1907,13,44,,51,9672,13,35386,15,383,92,50,19,8511,1
Bosnia and Herzegovina,100,23747,7,,5,43,-5000,27,425,9,3825,95,13,40,18344,1
Belarus,100,63303,5,57,0,43,-10000,7,21022,13,9470,94,17,29,76139,1
Belize,100,550,17,,,60,7596,11,0,23,340,91,40,22,,1
Bermuda,100,392,,,,20,,,,10,65,,41,,,1
Bolivia,91,16120,39,,2,52,-125000,2,40560,26,10848,46,11,,34176,0
Brazil,100,439413,14,12,14,62,-190000,5,937437,15,202034,81,5,25,2346118,1
Barbados,91,1566,14,,,19,1998,10,,13,286,,,,4348,1
Brunei Darussalam,76,9743,10,,0,71,1760,4,11123,16,423,,,,17257,1
Bhutan,76,561,36,39,,86,10000,2,8769,20,766,47,17,,1821,0
Botswana,53,4855,47,50,0,20,20000,16,8298,24,2039,64,8,30,15813,0
Central African Republic,11,286,139,10,,36,10000,7,,34,4709,22,,9,1783,0
Canada,100,485463,5,32,23,34,1099999,8,1290420,11,35540,100,11,17,1786655,1
Central Europe and the Baltics,100,719960,7,,11,34,120515,10,407585,10,103455,,20,37,1457835,1
Switzerland,100,36597,4,,40,32,320000,4,248492,10,8190,100,30,,,1
Channel Islands,100,,,,,4,3654,,,10,163,,,,,1
Chile,100,79409,8,34,5,22,30000,5,124480,14,17773,99,10,20,258062,1
China,100,9019518,13,23,4,23,-1500000,5,3356756,12,1364270,65,6,,10360105,1
Cote d'Ivoire,56,6447,100,43,1,33,50000,4,4034,37,20805,22,,15,34254,0
Cameroon,54,5662,95,22,6,41,-50000,4,5633,37,22819,45,16,,32549,0
"Congo, Rep.",42,2248,49,80,4,66,-45363,6,10370,38,4559,15,,,14135,0
Colombia,97,72423,17,16,13,54,-120000,8,309502,19,48930,80,5,25,377740,1
Comoros,69,158,78,18,,1,-10000,6,,35,752,,,,648,0
Cabo Verde,71,425,26,,,21,-17215,7,7729,20,504,65,56,22,1871,1
Costa Rica,100,7844,10,35,39,52,64260,6,50236,15,4938,94,21,27,49553,1
Caribbean small states,93,66849,20,,0,80,-122794,9,123994,16,7039,85,,,,1
Cuba,100,35922,6,,0,28,-140000,3,15466,10,11259,93,,,,1
Curacao,91,,,,,,14054,,,13,156,,,,,
Cayman Islands,91,583,,,,53,,,,13,59,96,,,,
Cyprus,100,7521,4,55,4,19,35000,17,8996,11,1153,100,69,40,23226,1
Czech Republic,100,109486,4,84,20,34,199999,6,48977,10,10511,100,21,33,205523,1
Germany,100,729458,4,46,11,32,549998,6,913156,9,80890,100,16,28,3852556,1
Djibouti,53,473,70,,,0,-15996,,,27,886,61,37,,1582,0
Dominica,93,125,11,34,,59,,,,,72,,39,24,538,
Denmark,100,40377,4,54,5,13,74999,7,,10,5640,100,40,43,341952,1
Dominican Republic,98,21888,28,26,2,41,-140000,10,1584,21,10529,82,16,,63969,1
Algeria,100,121755,25,30,0,1,-50002,8,59588,24,39929,95,7,,214063,1
East Asia & Pacific (developing only),96,10486424,20,30,5,30,-3060546,5,5337532,14,2020300,67,8,,12571283,1
East Asia & Pacific (all income levels),96,13002801,19,,5,27,-993626,5,7920139,14,2263726,70,10,,21421778,1
Europe & Central Asia (developing only),100,1400690,23,35,9,10,-735563,10,1031976,16,264373,94,13,34,1811043,1
Europe & Central Asia (all income levels),100,6735121,12,40,14,38,5594633,10,7463963,12,903133,93,19,38,23113308,1
Ecuador,97,35728,23,28,7,38,-30000,3,55716,21,15983,83,6,,100543,1
"Egypt, Arab Rep.",100,220790,22,15,2,0,-215681,7,90784,23,83387,96,,30,286538,1
Euro area,100,2403352,4,42,19,38,3363718,12,4062930,10,338728,100,21,38,13402747,1
Eritrea,36,521,50,,0,15,55001,7,,37,6536,,,,3858,0
Spain,100,270676,4,32,20,37,599997,26,486287,9,46405,100,17,33,1404307,1
Estonia,100,18650,3,85,1,52,0,9,12537,10,1314,95,43,31,25905,1
Ethiopia,27,7543,64,12,1,12,-60001,3,69397,33,96506,24,,,54798,0
European Union,100,3574100,5,40,18,38,4660627,11,5465908,10,508309,100,21,39,18460646,1
Fragile and conflict affected situations,43,377757,87,,2,25,-1920418,7,223520,33,463125,44,,,720140,0
Finland,100,54767,3,37,22,73,50001,9,137064,11,5464,100,21,39,270674,1
Fiji,59,1236,24,61,,56,-28720,6,17519,20,887,87,46,,4030,0
France,100,338805,4,29,47,29,649998,10,610197,12,66201,100,17,47,2829192,1
Faeroe Islands,100,568,,,,0,,,,,49,,,,,1
"Micronesia, Fed. Sts.",59,128,36,,,92,-8192,,,24,104,57,38,,,0
Gabon,89,2237,56,51,4,85,5000,14,0,32,1711,41,,,17228,0
United Kingdom,100,448236,5,28,11,12,900000,8,1069614,12,64510,100,20,42,2941886,1
Georgia,100,7932,13,43,17,39,-125007,15,3317,13,4504,93,28,25,16530,1
Ghana,64,10081,78,39,7,21,-100000,4,16736,31,26442,14,15,,38648,0
